Date,Value
2023-10-22,19.18 MDL
2023-10-22,19.2140 MDL
2023-10-22,19.278 MDL
2023-10-23,18.98 MDL
2023-10-23,19.400 MDL
2023-10-23,19.2839 MDL
2023-10-24,19.14 MDL
2023-10-24,19.198 MDL
2023-10-24,19.3376 MDL
2023-10-25,19.069 MDL
2023-10-25,19.3432 MDL
2023-10-25,18.97 MDL
2023-10-26,19.069 MDL
2023-10-26,19.1997 MDL
2023-10-26,18.84 MDL
2023-10-27,18.82 MDL
2023-10-27,19.201 MDL
2023-10-27,19.0875 MDL
2023-10-28,19.200 MDL
2023-10-28,18.92 MDL
2023-10-28,19.0875 MDL
