Date,Value
2023-10-24,19.14 MDL
2023-10-25,18.97 MDL
2023-10-26,18.84 MDL
2023-10-27,18.82 MDL
2023-10-28,18.92 MDL
2023-10-29,19.03 MDL
2023-10-30,18.83 MDL
2023-10-31,19.06 MDL
