Date,Value
2023-10-29,19.113 MDL
2023-10-29,19.0875 MDL
2023-10-29,19.03 MDL
2023-10-30,19.1200 MDL
2023-10-30,18.83 MDL
2023-10-30,19.221 MDL
2023-10-31,19.155 MDL
2023-10-31,19.06 MDL
2023-10-31,19.2190 MDL
