Date,Value
2023-10-08,18.90 MDL
2023-10-08,19.1833 MDL
2023-10-08,19.162 MDL
2023-10-09,19.235 MDL
2023-10-09,18.88 MDL
2023-10-09,19.2357 MDL
2023-10-10,18.99 MDL
2023-10-10,19.2140 MDL
2023-10-10,19.232 MDL
2023-10-11,19.255 MDL
2023-10-11,19.2934 MDL
2023-10-11,19.01 MDL
2023-10-12,19.2811 MDL
2023-10-12,19.01 MDL
2023-10-12,19.027 MDL
2023-10-13,18.923 MDL
2023-10-13,19.2509 MDL
2023-10-13,18.77 MDL
2023-10-14,18.70 MDL
2023-10-14,19.2509 MDL
2023-10-14,18.923 MDL
